answer,question
Taşeron,Bir işi başka bir firma yerine üstlenen firma
Eldiven,Karda oynarken eller üşümesin diye takılır
Duş jeli,Banyoda katı sabuna alternatif temizlik sıvısı
Palamut,Meşe ağacının meyvesi
Hekimoğlu,Fatsa ve çevresinde ün salmış halk kahramanı
Selüloz,Kağıt yapımında kullanılan karbonhidrat
Gökkuşağı,Yağmurdan sonra semada oluşan renk demeti
Otlukbeli,Osmanlılar ile Akkoyunlular arasındaki savaş
Zanaatkar,El işi ustası
Teleferik,Uludağ'a çıkmak için kullanılan bir taşıt
Semerkant,Amin Maalouf'un bir romanı
Beyaz eşya,Büyük ev aletlerinin genel adı
Ikaz etmek,Bir konuda uyarıda bulunmak
Islamabad,Pakistan'ın başkenti
Seracılık,Meyve ve sebzeleri kapalı yerde yetiştirme işi
Şarj aleti,Cep telefonlarımızın yaşam ünitesi
Pastörize,Louis Pasteur'ün bulduğu yöntemle hazırlanmış gıda
Kalinarya,Uskumru balığının en küçük hali
Servet,Kişinin sahip olduğu mal varlığı
Pekmez,Üzüm ve dutun kaynatılarak koyulaştırılmış suyu
Mezura,Terzilikte kullanılan şerit metre
Havale,Aynı banka müşterisi olan birine para gönderme
Nafaka,Boşanma sonrası ödenen aylık
Silkme,"Halteri önce omuzlara, sonra baş üstüne kaldırma"
Robben,"Arjen __, Hollandalı milli futbolcu"
Italya,Avrodan önceki para birimi liret olan ülke
Karınca,Koloniler halinde yaşayan çalışkan bir böcek türü
Kartuş,Püskürtmeli yazıcının mürekkep haznesi
Menajer,Bir sporcunun işlerini yürüten temsilci
Uçurtma,Gökte süzülen şekilli kağıt
Kafein,Kahvede bulunan uyarıcı madde
Kallavi,Osmanlı vezirlerinin taktığı koni biçimli kavuk
Banliyö,Büyük bir şehrin çevresinde oluşan yaşam alanı
Bakteri,"Basit yapılı, tek hücreli canlı"
Armatür,"Musluk, batarya gibi gereçlerin genel adı"
Brüksel,Bir lahana türüne adını veren başkent
Batarya,En küçük topçu birliği
Cesaret,Acı ve tehlikeyle yüzleşme iradesi
Dilekçe,Bir isteği belirtmek için yazılmış resmi yazı
Alüvyon,"Nehirlerin taşıdığı balçık, kil gibi tortular"
Tantuni,Mersin'in meşhur et yemeği
Külkedisi,Gece yarısında eski haline dönen masal kahramanı
Helyograf,Güneş'in yaydığı ısı miktarını ölçen alet
Çim hokeyi,Çimen üzerinde top ve sopayla yapılan takım sporu
Altınoluk,Edremit civarında bir tatil beldesi
Jeneratör,Elektrik kesilince devreye giren enerji kaynağı
Kastamonu,Ilgaz Dağı'nın Çankırı dışındaki sınırı olan kent
Deklanşör,Fotoğraf çekmek için basılan düğme
Kaligrafi,Güzel yazma sanatı
Kahvehane,Köyde erkeklerinin sosyalleştiği yer
Pişmaniye,Telleri ince ince ayrılan bir tür helva
Asurlular,Başkentleri Ninova olan Antik Çağ halkı
Muşamba,Su geçirmez bez
Otopark,Araç misafirhanesi
Merinos,Yünü kıymetli bir koyun türü
Kraliçe,Monarşide ülkeyi yöneten kadın
Şüpheli,Suç işlediği iddia edilen kişi
Ürtiker,Deri döküntüsü yapan alerjik hastalık
Yaşamak,Hayatta olmak
Otorite,"İşinde söz sahibi olmuş, sözü kabul gören kişi"
Heyecan,"Geçici adrenalin patlaması, coşku"
Kavurma,Pişirildikten sonra dondurulup saklanan et
Yasa dışı,"Kanunlarda yeri olmayan, hukuka aykırı"
Menteşe,Mobilya kapaklarının açılıp kapanmasını sağlar
Höşmerim,Balıkesir'e özgü bir tür peynir tatlısı
Yasemen,"Zeki Müren şarkısı, Bir Demet __"
Antrikot,Sığırın sırtından çıkarılan lezzetli et dilimi
Istişare,Bir konuyla ilgili yapılan fikir alışverişi
Debriyaj,Otomatik vites araçlarda olmayan pedal
Endokrin,İç salgı
Kurusıkı,İçinde sadece barut bulunan tabanca
Internet,Dünyayı birbirine bağlayan sanal ağ
Burak kut,90'larda Benimle Oynama parçasıyla ünlenen şarkıcı
Antikacı,Eski dönemlere ait eserleri alıp satar
Şamata,"Haldun Taner oyunu, Ay Işığında __"
Çaylak,Bir işte deneyimsiz olan kimse
Nedime,Düğün sürecinde geline yardım eden kadın
Paspas,Daire kapısının önüne konur
Kaykay,İtme gücüyle ulaşım sağlayan denge tahtası
Amasra,Fatih'in Çeşm-i Cihan diye betimlediği ilçe
Sfenks,"Kadın başlı, aslan vücutlu Mısır heykeli"
Fosfor,"Karanlıkta ışık yayan, zehirli bir element"
Louvre,Mona Lisa tablosunun sergilendiği müze
Kalkan,Genelde Karadeniz diplerinde bulunan düğmeli balık
Alfred,Batman'in sadık hizmetçisi
Bulgur,Buğdayın kaynayıp kurutulduktan sonraki hali
Orkide,Salep yapımında hammadde olarak kullanılan çiçek
Akıntı,Grip ve nezle durumunda genizde olur
Muhtar,Köy ve mahallede yasal işler için seçilmiş kişi
Yatırımcı,Hisse karşılığı şirkete nakit akışı sağlar
Kansızlık,"Hemoglobin eksikliği, anemi"
Elimsende,Ebelemece oyunu
Samanyolu,İçinde bulunduğumuz galaksi
Petroloji,Kayaların tarihini inceleyen bilim dalı
Çalakalem,Gelişigüzel yazılmış yazı
Şekerpare,Şerbetli bir Türk tatlısı; tatlı bir kayısı türü
Süreölçer,Kronometrenin Türkçe karşılığı
Okaliptus,Koalaların yapraklarını yemeyi çok sevdiği ağaç
Ağaç olmak,Birisini ayakta çok fazla beklemek anlamında deyim
Kaportacı,Araçlardaki göçükleri düzelten tamirci
Beyefendi,"Erkekler için kullanılan, saygı bildiren bir hitap"
Bisturi,Ameliyatlarda kullanılan kesici alet
Hız sınırı,Otoyolda azami sürat
Makosen,"Topuksuz, bağcıksız ayakkabı"
Potpuri,Sevilen eserlerden oluşan derleme şarkı
Bileşik,Kimyasal tepkime sonucu oluşan madde
Anduril,Yüzüklerin Efendisi'nde Aragorn'un kılıcı
Simitçi,Susamlı halka çörek satan kişi
Cakarta,Endonezya'nın başkenti
Anahtar,Elektrik devrelerinde açma kapama düğmesi
Turnike,Basketbolda çok sık kullanılan bir atış tekniği
Sipariş,Bir mağazadan ürün ısmarlama
Liyakat,Bir kişinin bir işe uygunluk durumu
Aceleci,"Çabuk davranan, işi bir an önce bitirmek isteyen"
Balmumu,Arıların petek yapmak için kullandıkları madde
Müfettiş,İşlerin yönetmeliğe uygunluğunu kontrol eden kimse
Tripleks,Üç katlı ev
Bakliyat,Mercimek ve nohutun ait olduğu besin grubu
Üflemeli,Nefesle çalınan sazların genel adı
Iskandil,Denizin derinliğini ölçmeye yarayan alet
Denizatı,Erkeklerinin doğum yaptığı deniz canlısı
Zeka küpü,Rubik bulmacanın Türkçe adı
Edebiyat,Roman ve hikayelerin dahil olduğu sanat türü
Tazminat,Birini işten çıkarırken ödenen para
Elon musk,Tesla ve SpaceX gibi şirketlerin kurucusu
Tahribat,Bir eşyaya zarar verme
Zemberek,Saatin hareketini sağlayan yay
Karavana,Adını dağıtıldığı kaptan alan asker yemeği
Akçaabat,Trabzon'un köftesi ile ünlü olan ilçesi
Kronofobi,Zamanın ilerlemesinden korkma
Pedodonti,Diş hekimliğinde çocuklarla ilgilenen alan
Kütüphane,Öğrencilerin sessiz ders çalışma yeri
Salyangoz,Deri solunumu yapan bir canlı
Kabak tadı,"Mecazen, verilen bıkkınlık hali"
Hazal kaya,Aşk-ı Memnu dizisinin Nihal'i
Regülatör,"Dalışta, tüpteki basıncı düzenleyen alet"
Peyderpey,"Azar azar, parça parça anlamında bir zarf"
Camgöbeği,Mavi ile yeşilin karışımı bir renk
Yeregeçen,Karoten yönünden zengin bir kök sebze; havuç
Nakkaş,Duvar ve tavanların süslenmesi ile uğraşan sanatçı
Abluka,Emin Alper'in Venedik'te ödül kazanan filmi
Onbaşı,Askerlikte erlerin aldığı bir rütbe
Baykuş,Boynunu 270 derece çevirebilen kuş
Adalet,"Simgesi gözü kapalı, terazi tutan kadındır"
Patika,Kırsal bölgedeki dar ve asfaltsız yol
Maskot,Uğurlu sayılan kişi ya da hayvan
Lahana,Kapuskanın ana malzemesi
Trapez,Sirk salıncağı
Manisa,Spil Dağı'nın bulunduğu il
Kalori,Diyet belirlemede kullanılan temel ölçü birimi
Gümrük,İthal edilen ürüne uygulanan vergi türü
Yakın çağ,Fransız İhtilali ile başlayan devir
Tamtam,Afrika yerlilerinin davulu
Günaşırı,Bir gün yapılıp bir gün yapılmayan eylemi niteler
Saç kremi,Şampuandan sonra kullanılan yumuşatıcı madde
Kalemlik,Öğrencilerin yazma gereçlerini topladığı küçük kap
Metreküp,Doğalgaz ve su faturasında birim fiyatı yazan ölçü
Iletişim,"İnsanlar arasında bilgi, duygu, düşünce paylaşımı"
Rıza baba,Arka Sokaklar dizisindeki emniyet amiri
Dinyeper,Ukrayna'dan geçen en büyük nehir
Kripton,Süpermen’in geldiği gezegen
Paraşüt,Uçaktan atlarken kullanılan ve hızı azaltan bez
Altyapı,"Bir şehirdeki su, elektrik gibi sistemlerin bütünü"
Anakart,Bilgisayarın iç donanımını bir arada tutan levha
Rekabet,Müşterinin kazançlı çıktığı şirketler arası yarış
Vanilya,Bir orkide türünden elde edilen tatlandırıcı
Anahtar,Elektrik devresinde akım kesme elemanı
Çevreci,"Doğayı koruyan, doğa dostu"
Hiçbiri,Hepsi ifadesinin zıddı
Kimyon,Köfteye konulan bol kokulu bir baharat
Italik,Eğik biçimli yazı
Anorak,"Su ve rüzgar geçirmeyen, başlıklı ceket türü"
Amazon,Jeff Bezos'un kurduğu global e-ticaret şirketi
Beraat,Mahkemede suçsuz bulunma
Irtifa,Düşen uçakta pilot bunu kaybettiğini söyler
Eğitim,Bilgilerin kişilere sistemli olarak verilmesi işi
Ladoga,Avrupa'da bulunan en büyük göl
Ayılar,"Atasözüne göre, armudun iyisini yiyen canlılar"
Tundra,Kutuplara yakın yerlerdeki bodur bitki örtüsü
Hızlı tren,Hedefine daha çabuk ulaşan demiryolu taşıtı
Hava atışı,Basketbolda hakemin maçı başlatma hareketi
Sonsuzluk,Nihayetten yoksun olma
Kızılören,Yazıönü olarak da bilinen Konya'daki tarihi han
Issız adam,Melis Birkan'ın ünlendiği Çağan Irmak filmi
Duşakabin,Banyonun yıkanmaya ayrılan kapılı bölümü
Maymuncuk,Her kapıyı açan özel bir anahtar
Yağmurluk,"Su geçirmez, ince, koruyucu üst kıyafet"
Çanakkale,Gelibolu bu ildedir
Şom ağızlı,Uğursuzluk getirdiğine inanılan kötümser kişi
Abur cubur,"Rastgele, yarar gözetmeden yenen sağlıksız yiyecek"
Çan eğrisi,Öğrenci notunun not ortalamasına göre belirlenmesi
Hollywood,Sinema endüstrisinin Los Angeles'ta atan kalbi
Antipatik,"Sevimsiz, soğuk kişileri tanımlayan bir sıfat"
Gözbebeği,"Mecazen, çok önem ve değer verilen kişi"
Denizaltı,Yüzeye çıkmadan su içinde ilerleyebilen gemi
Diz kapağı,Çocuklar düştüğünde en çok burası yaralanır
Kaligrafi,"Güzel yazı yazma sanatı, hat sanatı"
Üvercinka,Cemal Süreya'nın ilk şiir kitabı
Zeki müren,Sanat Güneşi lakaplı sanatçı
Hıçkırmak,İçli içli ağlamak
Psikiyatr,Terapiyi ilaçla destekleyen ruh ve sinir doktoru
Jeotermal,Yer altı sıcak su kaynakları
Maç sayısı,Woody Allen'ın bir filmine adını veren spor terimi
Isim şehir,Aynı harfle farklı kelimeler türetilen sosyal oyun
Mevduat,Bankaya vadeli ya da vadesiz olarak yatırılan para
Yabancı,Aileden ve yakın çevreden olmayan kişi
Zeytuni,Zeytin rengi
Organik,Üretiminde hiçbir kimyasal kullanılmayan gıda
Soğuksu,Ankara'nın Kızılcahamam ilçesindeki milli park
Cıvıltı,Sabahın ilk ışıklarıyla başlayan kuş ötüşü
Ay ışığı,Barry Jenkins'in 2016 yapımı Oscar'lı filmi
Manikür,El ve tırnak bakımı
Karizma,Kişinin insanları etkileyen büyüleyici gücü
Yırtıcı,"Kartal, şahin gibi büyük kuşlara verilen sıfat"
Ayçiçeği,Çekirdeği kuruyemiş olarak tüketilen bir bitki
Kalsiyum,Sembolü Ca olan element
Hafiftaş,"Nuray __, 2018'de vefat eden THM sanatçısı"
Yıldırım,Düştüğünde yangın çıkartabilen doğa olayı
Objektif,Taraf tutmayan; nesnel
Tekerlek,En büyük icat olarak görülen yuvarlak nesne
Müsteşar,"Bakanlıkta, bakandan sonraki en yetkili yönetici"
Iyi huylu,Tehlike içermeyen tümör için söylenir
Römorkör,Büyük gemileri iskeleye yanaştıran güçlü tekne
Bitkiler,Plantae sınıfındaki tüm canlıları kapsayan alem
Pişmanlık,Geçmiş hataların verdiği suçluluk duygusu
Çekici,Arızalanan araçları servise taşıyan büyük taşıt
Urağan,"Çok güçlü, yağmursuz fırtına"
Tomcruıse,1996'dan beri görevi tehlike olan aktör
Boş durmak,"Hiçbir iş yapmamak, çalışmamak"
Metronom,Müzik parçası çalışırken sabit ritim veren alet
Devekuşu,Görünmemek için kafasını kuma gömen kuş
Tebligat,Resmi bir işlem hakkında bilgilendirme belgesi
Girit ezme,Adını Akdeniz'deki bir adadan alan meze
Kommagene,Nemrut Dağı'ndaki heykelleri yapan uygarlık
Mutabakat,Cari hesapların karşılıklı tutturulması işlemi
Peynir,Pek çok çeşidi bulunan süt ürünü
Vazife,İnsanın yerine getirmesi gereken görev
Açılış,Kurdele kesilerek yapılan tören
Kaşığı,Pilavdan dönenin __ kırılsın
Ali ihsan,"__ Varol, Kelime Oyunu'nun sunucusu"
Hacivat,Gölge oyununda başrolü Karagöz ile paylaşır
Potasyum,Simgesi K olan element
Hıçkırık,Korkunca ya da su içince geçtiğine inanılır
Tencere,Yemek yapma gereci
Walkman,Sony tarafından geliştirilen portatif kasetçalar
Ipek ongun,Bir Genç Kızın Gizli Defteri serisinin yazarı
Ortaklaşa,"Beraberce, hep birlikte"
Koçaklama,Konusu savaş ve kahramanlık olan halk şiiri türü
Amerikano,Küt de denilen bir iskambil oyunu
Kapadokya,Özgür atlar ülkesi
Ikametgah,Oturulan adresi gösteren belge
Sımsımrak,Oğuz Türklerine özgü güveçte yoğurtlu kelle yemeği
Atardamar,En büyüğüne aort denir
Gastronom,"İyi yemekten anlayan, gurme"
Ağaçkakan,Gagasıyla tahtayı oyabilen kuş
Ebegümeci,Mor renkli çiçekleri olan şifalı bir bitki
Ezcümle,Sözün özü demek olan kelime
Barfiks,Bir olimpik jimnastik aleti
Mareşal,Askerlikte en üst rütbe
Anayasa,En temel kanunlar bütünü
Harçlık,Ebeveynin çocuğuna verdiği para
Iğneada,Kırklareli sahilinde turistik bir yerleşim yeri
Figüran,Tiyatro ve sinemada sözü olmayan oyuncu
Bergama,Berlin Müzesi'ndeki Zeus Sunağı'nın orijinal yeri
Börülce,Fasulyenin daha incesi gibi görünen sebze
Karaburun,Eski adı Mimas olan İzmir'deki küçük yarımada
Zeyilname,Poliçeye ilave olarak hazırlanan belge
Yansıtıcı,Işığın yönünü değiştirmek için kullanılan levha
Hititolog,Eti uygarlığını inceleyen bilim insanı
Kırlangıç,Genelde 17 Ekim'de başlayan fırtına
Biyografi,"Edebiyatta ve sinemada bir tür, yaşam öyküsü"
Suskunlar,Aslı Enver'in oynadığı 2012 yapımı dizi
Gelin başı,Evlenecek kadına kuaförde yapılan saç
Ağırbaşlı,"Olgun, vakur ve sakin kimse"
Davlumbaz,Dumanı ve kokuyu toplayıp bacaya veren araç
Mehmetçik,Türk askerine verilen ad
Yenidünya,Malta eriği de denen meyve
Kapris,"Düşüncesizce ve huysuzca istek, davranış"
Matkap,Duvarda delik açmaya yarayan alet
Saylak,"Şahsiyet dizisinin yönetmeni, Onur __"
Künefe,Peynir ve kadayıfla yapılan geleneksel tatlı
Albedo,Bir gök cisminin Güneş ışığını yansıtma oranı
Lojman,Devlet tarafından memurlara tahsis edilen ev
Sümela,Trabzon'da bulunan tarihi manastır
Podyum,Defile yapılan sahne
Trafik,Şehir hayatının yollarda geçen kısmı
Fındık,Nutella'nın ham maddesi olan yemiş
Alaşım,Birden fazla metalin birleşmesiyle oluşan metal
Hollanda,Yer değirmenleriyle ünlü Avrupa ülkesi
Eleştiri,Bir kişinin doğru ve yanlış yönlerini tenkit etme
Ev sahibi,Konuklarını hoş geldiniz diye karşılar
Lanetler,"Mezopotamya Üçlemesi'nin son oyunu, Geyikler __"
Ilkbahar,Japonya'da kiraz çiçeği açınca başlayan mevsim
Büyükayı,Kutup Yıldızı'nı bulmakta bu takım kullanılır
Milenyum,Bin yıla eşit zaman birimi
Karnaval,Rio de Janeiro'nun ünlü yıllık eğlencesi
Kozmetik,Cilt bakım ve makyaj ürünlerinin genel adı
Kuraklık,Uzun süre yağmur yağmaması sonucu oluşan durum
Başyapıt,Bir sanatçının en önemli eserinin tanımlaması
Kemirgen,"Fare, tavşan gibi keskin dişlilerin ortak adı"
Saksafon,Pek çok türü bulunan üflemeli bir müzik aleti
Direktör,"Yönetmen, yönetici"
Pansuman,"Yaraya bakım yapma, temizleme işlemi"
Dondurma,"Kornet, helva arası ya da çubukta yenir"
Şifonyer,Çekmeceli çamaşır dolabı
Köşebent,L biçimindeki çelik yapı ürünlerinin genel adı
Kreasyon,Bir modacının sezon için tasarladığı ürünler
Kalpazan,Sahte para basan kimse
Patlıcan,İçinde nikotin olan sebze
Amigolar,Tezahürat yönlendirme ustaları
Kapıkule,Türkiye ile Bulgaristan arasındaki sınır kapısı
Pergamon,Bergama'da bulunan antik kent
Gardırop,Elbise dolabı
Memleket,İnsanın evim dediği toprak parçası
Kapağını,"Tencere yuvarlanmış, __ bulmuş"
Çift hata,Teniste üst üste iki kez başarısız servis atma
Yuvarlak,Daire biçiminde olan
Parçacık,Atomaltı cisimlerin ortak adı
Pepeçura,Doğu Karadeniz'e özgü meyveli muhallebi
Ocakbaşı,Et pişen ızgaranın çevresinde oturulan lokanta
Presley,"Kral lakaplı, ABD'li müzisyen, Elvis __"
Vazelin,Cilt kuruluğunu önleyen yağlı bir merhem
Emisyon,Merkez Bankası'nın piyasaya para sürme işlemi
Negatif,Pozitif karşıtı
Klakson,Korna
Ada çayı,İçilen ve tütsü olarak da yakılan şifalı bir bitki
Çibörek,Kızarmış hamur içerisinde kıyma olan Tatar yemeği
Karaman,Koyunu ile meşhur İç Anadolu şehri
Zooloji,Hayvanları inceleyen bilim
Okçuluk,Osmanlı Devleti'nde popüler bir spor
Gerdan,Çene ile omuz arasında kalan boyun bölümü
Mikado,İnce çubukları oynatmadan almaya dayalı oyun
Ustura,Berberlerin sakal traşı yapmakta kullandığı bıçak
Bardak,Sıvıları içmekte kullanılan kap
Malabo,Ekvator Ginesi'nin başkenti
Mistik,"Gizemsel, gizemci"
Alyans,Evlilerin taktığı yüzük
Bülbül,Divan edebiyatında gülün sevgilisi
Çipura,Balık çiftliklerinde çok üretilen bir balık türü
Imaret,Yoksul ve öğrencilere yemek dağıtan eski bir kurum
Kavşak,Yolların kesiştiği veya birleştiği yer
Galeta,"Unu kızartmalarda kullanılan, uzun kuru peksimet"
Çimmek,Halk dilinde yıkanmak
Rekortmen,Bir spor dalında en iyi dereceyi yapan kimse
Anakronik,"Tarihi bir olayda, o tarihle ilgisiz ögeyi niteler"
Traverten,Kalkerli ya da silisli tortu
Prematüre,Zamanından önce doğmuş bebek
Buzdolabı,Yiyecek ve içecekleri saklayan soğutucu
Skolastik,Orta Çağ Avrupası'na hakim olan düşünce sistemi
Sudan ucuz,"Adeta bedava gibi, fiyatı çok düşük"
Kabiliyet,"Beceri, yetenek"
Tütsüleme,"Et, balık gibi yiyecekleri dumana tutma"
Kamarot,Yolcu gemilerinde oda hizmetçisi
Içliköfte,Duygulu anlamına da gelen bir sıfatı olan yemek
Entrika,Bir işi yapmak ya da bozmak için çevrilen dolap
Süreyya,İstanbul Anadolu yakasının tek opera binası
Lokanta,Restoran
Mahkeme,Bir davanın görülüp karara bağlandığı yer
Ahtapot,Üç kalbi olan kafadan bacaklı deniz canlısı
Beyzade,"Soylu, zengin kimselerin çocuğu"
