answer,kategori,question
Navigatör,,Yol tarifi veren elektronik cihaz
Kambriyen,,En yaşlı fosilleri barındıran zaman dilimi
Düzenleme,,Ozan Çolakoğlu'nun şarkılar üzerinde yaptığı işlem
Reprezant,,Doktorlara ilaç tanıtımı yapan kişi
Koyu bilal,,Fırat Tanış'ın Geniş Aile dizisindeki rolü
Ispatlama,,Bir iddiayı kanıtlama
Gülle atma,,Metal bir topu fırlatmaya dayalı atletizm dalı
Yorgunluk,,İnsanın enerjisinin azalması durumu
Hırsızlık,,"Çalma, arakçılık"
Demografi,,"Nüfus yapısı, özellikleri ile ilgilenen bilim dalı"
Gecekondu,,İzinsiz yapılmış derme çatma ev
Eşantiyon,,Çoğunlukla üzerinde firma logosu olan hediye
Parnasizm,,Şiirde gerçekçilik akımı
Pedodonti,,Çocuk dişleri ile ilgili hekimlik dalı
Bozacının,,__ şahidi şıracıdır
Harharyas,,Çok az sayıda kalan bir beyaz köpek balığı türü
Projektör,,Görüntüyü beyaz perdeye yansıtan cihaz
Windsor,,İngiliz kraliyet ailesinin soyadı
Netflix,,İnternetten yayın yapan ücretli tv platformu
Tabldot,,Lokantada birkaç yemek içeren sabit fiyatlı menü
Sabancı,,"__ Holding, Kayserili bir ailenindir"
Mersiye,,Sagu türünün Divan Edebiyatı'ndaki karşılığı
Pasteur,,Kuduz aşısını bulan Fransız bilim insanı
Lökosit,,"En küçük boyuttaki kan hücresi, akyuvar"
Çaka bey,,Türklere ait ilk donanmayı kuran kaptan
Grenada,,Başkenti Saint George's olan Karayip ülkesi
Antalya,,07 plakalı şehir
Çantacı,,İçinde eşya taşınan aksesuarları satar
Mazeret,,Bir hatanın nedeni olarak öne sürülen bahane
Evcilik,,Çocukların ebeveyn olmaya özenerek oynadığı oyun
Paylama,,Bir kişinin karşısındakini azarlaması
Kırlent,,Koltuk üzerine konulan işlemeli küçük yastık
Senatör,,Amerika'da milletvekillerine verilen isim
Abartma,,Herhangi bir şeyi olduğundan daha fazla gösterme
Günberi,,Dünya'nın Güneş'e en yakın olduğu an
Edebiyat,,Yazın
Triatlon,,"Yüzme, bisiklet ve koşu yarışlarının birleşimi"
Pastırma,,Kayseri'nin meşhur kurutulmuş et ürünü
Operatör,,Ameliyat yapabilen doktor
Yeniçeri,,Osmanlı Devleti'nde askeri bir birlik
Asilzade,,Adalesiz kelimesinin anagramı
Gemisini,,__ kurtaran kaptandır
Flamanca,,Belçika'nın kuzeyinde konuşulan dil
Mukayese,,"Karşılaştırarak değerlendirme, kıyaslama"
Işkırlak,,Karagöz'ün kafasına geçirdiği başlık
Sineklik,,Uçan şeylere karşı pencereye takılan tel veya tül
Iklimler,,2006 yapımı Nuri Bilge Ceylan filmi
Mikrofon,,Sesi çevreye duyurmak için kullanılan alet
Edebiyat,,"Roman, öykü, şiir, hepsi bunun içindedir"
Helsing,,Van __; Dracula'ya karşı savaşan silahlı kahraman
Semptom,,Hastalık belirtisi
Iskonto,,"Fiyat düşürme, indirim"
Topkapı,,Osmanlı padişahlarının yaşadığı saray
Anastra,,Eskişehir çevresine özgü iskambil oyunu
Fenomen,,Sosyal medya ünlüsü
Sandviç,,Ekmek arasına konulan malzemelerle yapılan yiyecek
Karyola,,Üzerine yatak koymak için üretilmiş mobilya
Zooloji,,Hayvan bilimi
Elbette,,1999 yılında çıkmış Candan Erçetin albümü
Palamar,,Gemi bağlamakta kullanılan halat
Pentagram,,"Anatolia albümünün sahibi, Türk heavy metal grubu"
Anakara,,"Büyük toprak parçası, kıta"
Ayşe kökçü,,Bizimkiler dizisinin Nazan'ını canlandıran aktris
Fıttırmak,,"Argoda aklını oynatmak, delirmek"
Megaloman,,Kendini çok büyük gören kişi
Deklanşör,,Makinede fotoğraf çekmek için basılan tuş
Ucuz roman,,Uma Thurman ile John Travolta'nın yer aldığı film
Havaalanı,,Uçakların yolcu alıp bıraktıkları yer
Ip cambazı,,"Yüksekte, gerilmiş urgan üzerinde yürür"
Görüntülü,,"__ görüşme, telefon kamerası ile yapılan görüşme"
Tiramisu,,"Anlamı ""Beni neşelendir"" olan İtalyan tatlısı"
Kuzguncuk,,Ekmek Teknesi dizisinin çekildiği İstanbul semti
Güzergah,,Yolculuk sırasında izlenecek rota
Alaturka,,Alafranganın karşıtı
Osmaniye,,Akdeniz Bölgesi'nin en küçük şehri
Karanlık,,"Işık olmayan, hiçbir şeyin görünmediği durum"
Biçilene,,Bıldırcının beyliği arpa __ kadar
Fosforlu,,"Gülriz Sururi'nin oyunlaştırdığı roman, __ Cevriye"
Coğrafya,,Yeryüzünü birçok yönden inceleyen bilim
Harddisk,,Bilgisayarların bilgi depolama kısmı
Mağlup,,"Yenik, yenilgiye uğramış olan"
Neruda,,"Şair olarak da tanınan Şilili politikacı, Pablo __"
Iyileşme,,"Hastalıktan kurtulma, sağlığına kavuşma"
Ispenç,,Osmanlı'daki hıristiyan çiftçilerin ödediği vergi
Baldır,,Ayak bileği ile diz arasındaki bacak kısmı
Helyum,,Periyodik cetvelde simgesi He olan element
Kapıcı,,Apartman görevlisi
Barbut,,Zar atarak oynanan bir tür oyun
Çulsuz,,Parasız kişiler için kullanılan bir kelime
Izgara,,"Et, balık, köfte gibi yiyecekleri pişiren araç"
Aikido,,Bir tür Japon savunma sanatı
Pirana,,İnsan da yiyen yırtıcı küçük balık
Mikrop,,Çoğu hastalığın temel sorumlusu
Feride,,Çalıkuşu'nun kadın kahramanı
Pırnal,,Kışın yaprak dökmeyen bir meşe türü
Gümrük,,İthal veya ihraç edilen malın resmi kontrol yeri
Suriye,,Türkiye ile en uzun kara sınırına sahip ülke
Candan,,Çıkmadık __ ümit kesilmez
Kepenk,,İş yeri kapılarına indirilen metal perde
Demode,,"Eski moda, modası geçmiş"
Safari,,Apple ekosisteminin resmi internet tarayıcısı
Avutma,,Sırt sıvazlama sebebi
Kanuni,,Sultan Birinci Süleyman'ın lakabı
Yastık,,Uyurken başın altına konan minder
Cambaz,,"Sirklerde ip üzerinde gezen kişi, akrobat"
Sazova,,İçerisinde masal şatosu bulunan Eskişehir parkı
Dekont,,Yapılan banka işlemlerinin dökümü olan belge
Peşrev,,Yağlı güreşten önce yapılan hazırlık hareketi
Gökçen,,"Sabiha __, dünyanın ilk kadın savaş pilotu"
Branda,,"Muşamba benzeri, su geçirmez kalın bez"
Şefkat,,Genelde annelikle özdeşleştirilen sevecenlik
Titrek,,He-Man'in çizgi filmdeki korkak kaplanı
Kimyon,,Et yemeklerinde kullanılan kahverengi baharat
Anubis,,Antik Mısır'ın ölüm tanrısının adı
Laedriye,,"Bilinmezcilik akımı, agnostizm"
Zeytin,,Barışın simgesi olan meyve
Direction,,"Zayn Malik'in üyesi olduğu müzik grubu, One __"
Alüminyum,,Mutfakta kullanılan bir folyonun malzemesi
Kellepaça,,İki tür sakatattan yapılır
Kellepaça,,İki tür sakatattan yapılan çorba
Rintintin,,Red Kit'in köpeğinin adı
Zapatista,,Adını Emiliano Zapata'dan alan Meksikalı örgüt
Elini kana,,__ bulamak; Cinayet işlemek ya da yaralamak
Ivedik,,"Türk sinemasının en çok gişe yapan filmi, Recep __"
Garfield,,Oddie adlı köpeğin ev arkadaşı olan kedi
Içliköfte,,Duygusal bir yiyecek
Mersin,,Cezerye ve tantuni bu ile özgüdür
Uludağ,,Bursa'nın kayak merkezi olan dağ
Epifiz,,Beyinde melatonin hormonu salgılayan salgı bezi
Proust,,"Bakıcısının anı kitabı yazdığı yazar, Marcel __"
Xiaomi,,Mi serisi telefonları üreten teknoloji firması
Yatakhane,,Okul veya askerde uyunan yer
Resident,,"__ Evil, zombilerle mücadele edilen oyun serisi"
Elhamra,,Güney İspanya'daki tarihi Arap sarayı
Bartın,,Amasra bu ilin ilçesidir
Isteka,,Bilardoda toplara vurmakta kullanılan temel araç
Meblağ,,"Paranın toplam ederi, tutar"
Keşkül,,"Osmanlı’dan günümüze kadar gelen, sütlü tatlı türü"
Vizite,,Doktorun hastane içinde yaptığı hasta turu
Eyalet,,Devlet içinde özerkliği olan idari birim
Dansöz,,Sibel Can'ın müziğe geçmeden önceki mesleği
Siccin,,Altıncısı 2019'da çekilen Türk korku filmi serisi
Yelken,,Üçgen biçimli kumaş rüzgar yakalayıcı
Haydut,,"Yol kesen, soygun yapan azılı suçlu"
Frapan,,Güzelliği ve giyimiyle dikkat çeken
Bitkin,,"Güçten düşmüş, takatsiz kalmış"
Işaret,,Şerait kelimesinin anagramı
Çöplük,,Dağınık ergen odasına yapılan anne yakıştırması
Kavrama,,Bir şeyi sıkıca tutma
Yatırım,,Bir iş için kazanç amaçlı yapılan para aktarımı
Pencüse,,Tavlada 5-3 gelen zar
Kahvesi,,"Cezvede yapılan köpüklü sıcak içecek, türk __"
Budamak,,Ağacın dallarını kısaltmak
Kaplıca,,Yerden çıkan sıcak su için yapılan hamam
Ayrıntı,,Şeytanın gizlendiği yer
Düzayak,,Bir evin sokakla hemzemin giriş katı için söylenir
Sanatçı,,Yaratıcı eserleri olan kişi
Üşengeç,,İçine miskinlik işlemiş kişi
Olimpik,,50 metre uzunluğundaki havuz türü
Çözelti,,"Şekerli su, şurup gibi örnekleri olan karışım"
Muhatap,,"Diyalog kurulan, konuşulan kişi"
Uzatmak,,"Dil __; Birine iftira atmak, kötü söz söylemek"
Brian may,,Queen grubunda çalan İngiliz gitarist
Maverick,,Mel Gibson ve Jodie Foster'i buluşturan film
Anestezi,,Ameliyat öncesi hastayı uyuşturma işlemi
Fütürizm,,İtalya'da doğan 20. yüzyıl avangart sanat akımı
Müsteşar,,Bakan danışmanı
Savurgan,,Gereksiz yere ve çok para harcayan
Gailesiz,,"Dertsiz, sıkıntısız"
Akredite,,"Resmi olarak yetkilendirilmiş, tanınmış olan"
Cibinlik,,Sinek girmesini engelleyen çadır gibi tül örtü
Stallone,,"Rocky filminin yıldızı, Sylvester __"
Kandilli,,Türkiye'nin en eski rasathanesi
Ateşküre,,"Yer kabuğunun altındaki çok sıcak katman, pirosfer"
Imkansız,,"Mümkün olmayan, olanaksız"
Korkuluk,,"Tarlaya dikilen, insana benzer kuş savar"
Dondurma,,Serinleten yaz tatlısı
Servisçi,,Personel ve öğrenci taşımacılığı yapan esnaf
Mezarlık,,Halk dilindeki adı tahtalıköydür
Virajlar,,Bir yolun kıvrılarak yön değiştirdiği yerler
Kördüğüm,,İlmiksiz boğum
Tüketmek,,"Sıfırı __, iflas etmek"
Derbeder,,Yaşayışı ve kılığı düzensiz; Ferdi Tayfur şarkısı
Ebelemek,,Aynı adlı çocuk oyununda elini başkasına değdirmek
Katipler,,Kurumlarda yazı işlerinden sorumlu kişiler
Kulakiçi,,Küçük ve derine giren kulaklık türü
Itirafçı,,"Suç örgütünden ayrılıp, polise herşeyi anlatan"
Kabartma,,İnandık Vazosu bu teknikle yapılmış ilk eserdir
Çizmeler,,Diz kapağına kadar çıkabilen uzun ayakkabılar
Akmerkez,,Etiler'de yer alan lüks ve ünlü alışveriş merkezi
Çivigibi,,Deniz suyunun çok soğuk olduğunu anlatan söz
Budamak,,"Bitkinin dallarını tıraş etmek, kısaltmak"
Tanrıça,,Afrodit'in mesleği
Yakamoz,,Denizde gece oluşan parıltı
Elhamra,,İspanya'nın Endülüs bölgesinde yer alan ünlü saray
Otostop,,Yayanın ücretsiz seyahat için araba çevirmesi
Makaron,,Renkli Fransız kurabiyesi
Kaynata,,"Eşin babası, kayınpeder"
Hırızma,,Boğaların burunlarına geçirilen demir
Ithalat,,Yabancı bir ülkeden mal veya hizmet satın alma
Tanrıça,,"Afrodit, Kibele, Hera bunun örnekleridir"
Kumbara,,"Biriktirmek amacıyla, içine para atılan özel kutu"
Budamak,,Bitkinin dallarını kesip kısaltmak
Almanya,,FIFA Dünya Kupası'nı 2014'te kazanan ülke
Gandalf,,5. günün şafağında doğudan gelen büyücü
Velayet,,"Boşanan birinin, çocuğunun sorumluluğunu alması"
Dönence,,Güneş ışınlarının yılda bir kez dik geldiği enlem
Cortana,,Windows işletim sistemlerindeki kişisel asistan
Müzikal,,Lüküs Hayat oyununun türü
Prenses,,Kraliyet ailesinden gelen kadınlara denir
Rençber,,"__ kırk yılda, tüccar kırk günde"
Enfarktüs,,Atardamarın tıkanması sonucu oluşan hastalık
Troleybüs,,Elektrikli otobüs
Rosalinda,,Çiçekçi bir kadını anlatan Meksika pembe dizisi
Yasemince,,"İnce İnce __, eski bir yerli komedi programı"
Artık ürün,,Üreticinin tüketeceğinden fazla ürettiği mal
Ingiltere,,Sembollerinden biri Big Ben olan ülke
Buz pateni,,Altı kızaklı özel ayakkabısıyla yapılan spor
Fevkalade,,"Harika, beklenenin çok üstünde, olağanüstü"
Hipotenüs,,"Dik üçgende, dik açının karşısındaki kenar"
Van kedisi,,"Bir gözü mavi, diğeri yeşil hayvan"
Makedonya,,Büyük İskender'in anavatanı
Numaratör,,Bankalarda müşteri sırasını belirleyen makine
Pırlangıç,,Berrin Çopur'un çocuk şarkılarından oluşan albümü
Musandıra,,Yatak yorgan gibi eşyaların konulduğu yüklük
Melatonin,,Uyku-uyanıklık döngüsünde rol oynayan hormon
Koalisyon,,Farklı partilerin birlikte kurduğu hükümet
Yatakhane,,Okul veya askeriyede uyumak için kullanılan yer
Dombıra,,"Orta Asya'ya özgü, iki telli bir çalgı"
Malatya,,Turgut Özal Üniversitesi bu ildedir
Richter,,Deprem şiddeti ölçü birimi
Gravyer,,"Kars yöresinde üretilen, gözenekli İsviçre peyniri"
Örneğin,,"Söz gelişi, mesela"
Palaska,,Asker kemeri
Menkıbe,,Ermişlerin olağanüstü hikayelerini anlatan yazı
Malatya,,İnönü Üniversitesi bu ildedir
Otopark,,Arabaların belli bir süre bırakıldığı yer
Gravyer,,Kars'ta üretilen büyük gözenekli peynir
Kasiyer,,Market ve mağazalarda ödeme alan görevli
Parafin,,"Petrolden elde edilen, beyaz ve yanıcı hidrokarbon"
Bilardo,,Semih Saygıner’i Dünya Şampiyonu yapan spor
Davacı,,Mahkemede suçlayıcı taraf
Mersin,,Cezerye ve tantunisiyle meşhurdur
Merhaba,,Selamlaşırken söylenir
Kuzine,,İçinde fırın olan bir çeşit odun sobası
Yalova,,Atatürk'ün kaplıcaları için çokça gittiği il
Istaka,,Okeyde taşların dizildiği tahta
Uludağ,,Bursa'nın kayak merkezi
Proust,,"Kayıp Zamanın İzinde'nin yazarı, Marcel __"
Bedava,,"Ücretsiz, para vermeden satın alınabilen"
Gravür,,Kazıma ve baskı tekniği uygulanan resim sanatı
Fanila,,Üste giyilen pamuklu bir iç çamaşırı
Hortum,,Silindir şeklinde dönerek gezen bir rüzgar biçimi
Florür,,Diş macunu ve sodada bolca bulunan bir madde
Aferin,,Bravo anlamına gelen övgü sözü
Telsiz,,Radyo sinyallerinden faydalanan bir iletişim aracı
Gangster,,Yasa dışı işler yapan çete üyesi
Aquafobi,,Sudan korkma hastalığı
Ertuğrul,,Japonya karasularında batan Türk fırkateyni
Su böreği,,Yufkası önce haşlanarak yapılan hamur işi
Vasistas,,Üst kısımdan açılan havalandırma penceresi
Platipus,,Ornitorenk olarak da bilinen gagalı memeli
Antoloji,,Şair ve yazarların eserlerinden oluşan kitap
Başhekim,,Hastanede en üst mevkideki doktor
Biberiye,,"Çayı da yapılan, bol kokulu bir taze baharat"
Damatlık,,"Düğünde, evlenecek erkeğin giydiği kıyafet"
Kazıkazan,,Kağıda bir şey sürterek ödülü bulduğun oyun
Boris vian,,Günlerin Köpüğü'nü yazan Fransız yazar
Jean reno,,Leon adlı filmdeki katili canlandıran oyuncu
Nil nehri,,Eski Mısır'ın yaşam kaynağı
Içliköfte,,Duygusal et yemeği
Yüzükoyun,,Sırt yukarı gelecek şekilde yatmak
Snowboard,,Karda yapılan sörf
Agamemnon,,Truva Savaşı'ndaki Miken kralı
Hematolog,,Kan bozukluklarını inceleyen bilim insanı
Içliköfte,,Duygulu anlamına da gelen bir sıfatı olan yemek
Mukaddime,,Karagöz oyunlarının ilk bölümü
Daltonlar,,Red Kit'in baş düşmanları olan kardeşler
Kazıkazan,,Karta madeni para sürterek oynanan şans oyunu
Feodalizm,,Derebeylerin söz sahibi olduğu sistem
Tirhandil,,Akdeniz ve Ege'ye özgü büyük yelkenli tekne
James dean,,Asi Gençlik filminin genç yaşta ölen yıldızı
Penguen,,"Uçamayan, sallanan, soğuk deniz kuşu"
Camille,,"Olgunluk Çağı'na imza atan heykeltıraş, __ Claudel"
Haklama,,"Argo dilinde, birini öldürme"
Ukrayna,,Başkenti Kiev olan ülke
Tefrika,,Gazetelerde çıkan ve devamlılığı olan yazı dizisi
Galaksi,,Yıldız ve gezegenleri içinde barındıran alan
Romanov,,Son Rus hanedanı olan aile
Kültepe,,Kayseri'de Kaniş harabelerinin olduğu antik kent
Russell,,"Ülkemizde film çeken Avusturalyalı aktör, __ Crowe"
Penguen,,"Uçamayan, sallanarak yürüyen soğuk deniz kuşu"
Ziyaret,,Birini veya bir yeri görmeye gitme
Yumurta,,Menemenin domates dışındaki ana malzemesi
A takımı,,Savaş Ay'ın sunduğu tartışma programı
Pinhani,,Kavak Yelleri dizisinin müziklerini yapmış grup
Okçuluk,,Türklerde var olan bir ata sporu
Botanik,,Bitki bilimi
Ukrayna,,Türkiye'de yapılan Eurovision'da birinci olan ülke
Satranç,,"Fil, at, kale gibi taşları bulunan oyun"
Hugo boss,,Hitler'in moda tasarımcısı
Otokrasi,,Siyasi gücün tek kişi ya da grupta toplanması
Garnitür,,Ana yemeğin yanında gelen tamamlayıcı yiyecek
Canciğer,,"Çok yakın, sıkı fıkı arkadaş"
Terminal,,Yolcu taşıyan araçların ilk ve son durağı
Buğulama,,Su buharıyla pişirme yöntemi
Anatomik,,Canlının yapısı ile ilgili anlamındaki kelime
Selobant,,Bir tarafı yapışkan olan saydam şerit
Tüketmek,,"Nefes __, bir şeyi anlatmaktan yorulmak"
Alakarga,,Kanatlarında mavilikler bulunan kahverengi bir kuş
Keloğlan,,Saçları olmayan Türk masal kahramanı
Sadrazam,,Osmanlı'da başbakanlık unvanı
Arkeolog,,Tarihi eserleri gün ışığına çıkaran bilim insanı
Otomobil,,Genellikle araba denen dört tekerli motorlu taşıt
Emiliano,,"2019 yılında uçak kazasında ölen futbolcu, __ Sala"
Veresiye,,Parası daha sonra ödenmek üzere alınan mal
Ferhunde,,Yaprak Dökümü'nde Deniz Çakır'ın oynadığı rol
Smilodon,,Tarih öncesinde yaşamış kılıç dişli kedi
Prömiyer,,Bir filmin ya da tiyatro oyununun ilk sahnelenişi
Merdiven,,Bir yere çıkmaya yarayan basamak
Amigdala,,"Korku, üzüntü gibi duyguları üreten beyin bölgesi"
Optimist,,İyimser
Kamuflaj,,Askeri elbise deseni
Rençper,,Tarlada ağır işleri yapan ırgat
Silezya,,En büyük şehri Wrocław olan tarihi bölge
Dümenci,,Gemilerde direksiyonu kullanan kişi
Megaton,,Bir milyar kilograma eşit kütle birimi
Ebeleme,,Oyunda kovalanan kişiyi yakalayıp ona dokunma
Narsist,,Kendine hayran olan kişi
Dostlar,,__ alışverişte görsün; İş yapar gibi görünmek
Dümenci,,Gemilere yön veren düzeneği kullanan kişi
Bilişim,,"Bilgisayar teknolojileri bilimi, enformatik"
Charter,,Ucuz uçak bileti sağlayan uçuş türü
Yoko ono,,John Lennon'un karısı olan Japon müzisyen
Aborjin,,Avustralya yerlisi olan kişiye verilen ad
Epidemi,,Bir bölgede görülen salgın hastalık
Kontrol,,Bir şeyin uygunluğunu denetleme
Rüşvet,,İş gördürmek için memura verilen yasadışı para
Minder,,Koltuklarda süs olarak kullanılan bir eşya
Enigma,,Nazilerin kullandığı mesaj şifreleme makinesi
Istifa,,Bir görevden kendi isteğiyle ayrılma
Narval,,"C vitamini bakımından zengin, tek boynuzlu balina"
Garson,,Lokantalarda yemek servisi görevlisi
Pamela,,Ayrılamayız Biz adlı şarkıyı söyleyen şarkıcı
Zümrüt,,"Parlak, yeşil ve değerli bir süs taşı"
Cereme,,Başkasının yaptığı hatanın cezasını ödeme
Bulvar,,İki tarafı ağaçlı şehir içi yol
Minder,,Rahat oturulsun diye sandalyelere takılan yastık
Kripto,,Gizli belge
Laktoz,,Sütte bulunan doğal şeker
Narval,,"Tek boynuzlu balina, deniz gergedanı"
Futbol,,"Ayaktopu olarak da bilinen, en popüler spor dalı"
Seksek,,"Çizilen çizgiler içinde, zıplanarak oynanan oyun"
Ivedik,,"Şahan Gökbakar'ın 2008 yapımı filmi, Recep __"
Tuluat,,Bir metne bağlı kalmadan oynanan tiyatro türü
Uterus,,"Kadın doğum organı, rahim"
Briyantin,,Saçları şekillendirici parlak ve yoğun sıvı
Septisizm,,Kuşkuculuğun temel olduğu felsefi öğreti
Okyanusya,,Avustralya'nın dahil olduğu kıta
Hipopotam,,Su aygırı
Gastronom,,"Yemek bilimi ile uğraşan, yemek uzmanı"
